parameters,seed,mutualism,competition,predation,density,replicates,richness,time,connectance,carrying_capacity,sigma_interaction,sigma_infection,regulation,virulence,recovery,half_saturation
10a0c206-3fd2-41f3-b734-7ac60caadb5e,35279,0,0,100,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
eaf0736c-6d04-4972-8a00-51b03c559d55,6397,0,0,100,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
3b076961-02cf-4663-9b71-97fbf3de2ef5,158638,0,20,80,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
6b82efa8-379e-4bd1-ac3f-87c87453be88,169147,0,20,80,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
2a68fdb1-7892-46e0-b5c7-4f325700bdea,54355,0,40,60,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
bfab9517-7ae5-41a3-a79d-3ae8feb6b25f,165831,0,40,60,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
5c40c964-a6d0-40d9-a272-6fbb1a9446e3,48855,0,60,40,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
b310308c-1ac5-45f7-b9fc-88caaf631e44,113483,0,60,40,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
46e250ec-58de-4a18-a418-f6b34740277f,40202,0,80,20,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
22371375-ce54-4e11-9345-743aa4840b9b,149408,0,80,20,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
d9e164ac-72b5-4520-b45b-b51f1b5d5113,195276,0,100,0,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
9abd7d74-ddd8-485d-bfbc-41d53f3005f2,105281,0,100,0,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
d692b52e-aae0-4adc-9034-509752161feb,125053,20,0,80,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
29189703-13ca-4796-ab8d-df90943d0c84,67370,20,0,80,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
eca8f55e-f325-48ab-bbe0-137157600f7e,57222,20,20,60,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
da9a96a3-0238-40b4-b3c3-61c43442a9bc,23371,20,20,60,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
360ab38e-86fe-4fe1-8cb9-404ca96e8e22,24510,20,40,40,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
51ec7f44-2c95-4751-a32c-855ef7c24af3,105260,20,40,40,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
3380e3c7-cabe-46dd-94f6-16ef6723d447,126627,20,60,20,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
74e95d02-d7ab-4bc0-a9b5-956c20dc8f3a,40559,20,60,20,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
da7bfbc3-12b2-496a-a87a-346a208cce69,15849,20,80,0,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
efa25ccd-5e14-4ec0-83f1-5b512a5d456e,89986,20,80,0,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
68be5b28-edd1-4905-86e3-6322bf5250c3,88143,40,0,60,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
fe41aaf5-5486-4c8a-af8a-a7e627fb8551,24706,40,0,60,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
bcfe17ca-8733-4248-9737-4bcbf67f8bba,41323,40,20,40,true,10,20,500,0.5,100.0,0.2,0.001,0.02,0.05,0.05,30.0
51f764f5-42ce-4946-b1af-5c18679f0d1d,79661,40,20,40,false,10,20,500,0.5,100.0,0.2,0.01,0.02,0.05,0.05,30.0
